Latitude,Longitude,solar_hours,
55,11,1409898,
55,11.5,1375065,
55,12,1352675,
55,12.5,1409039,
55,13,1344519,
55,13.5,1349661,
55,14,1346062,
55,14.5,1328943,
55,15,1345478,
55,15.5,1241502,
55,16,1221236,
55,16.5,1235267,
55,17,1211165,
55,17.5,1187176,
55,18,1170046,
55,18.5,1174777,
55,19,1168229,
55,19.5,1127910,
55,20,1171524,
55,20.5,1248126,
55,21,1195767,
55,21.5,1102055,
55,22,1081384,
55,22.5,1071142,
55,23,1062683,
55,23.5,1052375,
55,24,1042613,
55.5,11,1452651,
55.5,11.5,1400470,
55.5,12,1287299,
55.5,12.5,1361523,
55.5,13,1408737,
55.5,13.5,1276988,
55.5,14,1275657,
55.5,14.5,1341538,
55.5,15,1344233,
55.5,15.5,1263889,
55.5,16,1242855,
55.5,16.5,1255028,
55.5,17,1229168,
55.5,17.5,1173006,
55.5,18,1196449,
55.5,18.5,1167516,
55.5,19,1145424,
55.5,19.5,1164351,
55.5,20,1177906,
55.5,20.5,1187006,
55.5,21,1185061,
55.5,21.5,1127993,
55.5,22,1077031,
55.5,22.5,1078566,
55.5,23,1077663,
55.5,23.5,1080689,
55.5,24,1097962,
56,11,1465616,
56,11.5,1460078,
56,12,1475397,
56,12.5,1401250,
56,13,1224410,
56,13.5,1104299,
56,14,1194605,
56,14.5,1275235,
56,15,1354915,
56,15.5,1421459,
56,16,1399157,
56,16.5,1351293,
56,17,1319214,
56,17.5,1281332,
56,18,1261923,
56,18.5,1249104,
56,19,1218598,
56,19.5,1212898,
56,20,1206356,
56,20.5,1200935,
56,21,1187322,
56,21.5,1087422,
56,22,1074218,
56,22.5,1056473,
56,23,1051813,
56,23.5,1100412,
56,24,1100749,
56.5,11,1502031,
56.5,11.5,1497930,
56.5,12,1479778,
56.5,12.5,1435911,
56.5,13,1231581,
56.5,13.5,1075486,
56.5,14,1098649,
56.5,14.5,1163778,
56.5,15,1225552,
56.5,15.5,1265842,
56.5,16,1323808,
56.5,16.5,1399979,
56.5,17,1363295,
56.5,17.5,1337366,
56.5,18,1321307,
56.5,18.5,1313092,
56.5,19,1280219,
56.5,19.5,1255497,
56.5,20,1249336,
56.5,20.5,1217197,
56.5,21,1248974,
56.5,21.5,1113895,
56.5,22,1117510,
56.5,22.5,1078552,
56.5,23,1115421,
56.5,23.5,1138081,
56.5,24,1119936,
57,11,1473730,
57,11.5,1491296,
57,12,1443323,
57,12.5,1307396,
57,13,1131386,
57,13.5,1083715,
57,14,1103878,
57,14.5,1081045,
57,15,1089111,
57,15.5,1130893,
57,16,1257622,
57,16.5,1352153,
57,17,1387640,
57,17.5,1368675,
57,18,1379836,
57,18.5,1341103,
57,19,1271542,
57,19.5,1267817,
57,20,1250837,
57,20.5,1220911,
57,21,1252405,
57,21.5,1182379,
57,22,1127637,
57,22.5,1150166,
57,23,1167892,
57,23.5,1231990,
57,24,1190181,
57.5,11,1440641,
57.5,11.5,1452513,
57.5,12,1324726,
57.5,12.5,1149516,
57.5,13,1077559,
57.5,13.5,1047383,
57.5,14,1083623,
57.5,14.5,1016198,
57.5,15,1100595,
57.5,15.5,1090186,
57.5,16,1125545,
57.5,16.5,1260620,
57.5,17,1330246,
57.5,17.5,1346181,
57.5,18,1388873,
57.5,18.5,1315594,
57.5,19,1307136,
57.5,19.5,1280220,
57.5,20,1241555,
57.5,20.5,1230887,
57.5,21,1243940,
57.5,21.5,1230191,
57.5,22,1184011,
57.5,22.5,1192067,
57.5,23,1214113,
57.5,23.5,1178215,
57.5,24,1187785,
58,11,1437444,
58,11.5,1452454,
58,12,1245315,
58,12.5,1213870,
58,13,1148183,
58,13.5,1148586,
58,14,1210690,
58,14.5,1338935,
58,15,1177233,
58,15.5,1192300,
58,16,1175159,
58,16.5,1252602,
58,17,1313010,
58,17.5,1358711,
58,18,1382601,
58,18.5,1365541,
58,19,1324863,
58,19.5,1308219,
58,20,1269062,
58,20.5,1223567,
58,21,1213429,
58,21.5,1199383,
58,22,1263884,
58,22.5,1240059,
58,23,1262936,
58,23.5,1234748,
58,24,1250005,
58.5,11,1352004,
58.5,11.5,1303926,
58.5,12,1223044,
58.5,12.5,1430100,
58.5,13,1346336,
58.5,13.5,1293162,
58.5,14,1255168,
58.5,14.5,1453758,
58.5,15,1397806,
58.5,15.5,1433352,
58.5,16,1369154,
58.5,16.5,1278557,
58.5,17,1308768,
58.5,17.5,1372117,
58.5,18,1402120,
58.5,18.5,1390874,
58.5,19,1379845,
58.5,19.5,1345294,
58.5,20,1246077,
58.5,20.5,1223638,
58.5,21,1211377,
58.5,21.5,1185528,
58.5,22,1278570,
58.5,22.5,1217628,
58.5,23,1221681,
58.5,23.5,1217037,
58.5,24,1169086,
59,11,1298159,
59,11.5,1212673,
59,12,1187830,
59,12.5,1170354,
59,13,1328193,
59,13.5,1348384,
59,14,1308616,
59,14.5,1255015,
59,15,1237054,
59,15.5,1227792,
59,16,1230648,
59,16.5,1121071,
59,17,1168918,
59,17.5,1306010,
59,18,1366123,
59,18.5,1398254,
59,19,1423031,
59,19.5,1383230,
59,20,1325495,
59,20.5,1285837,
59,21,1262949,
59,21.5,1268886,
59,22,1292882,
59,22.5,1310286,
59,23,1250033,
59,23.5,1254524,
59,24,1161662,
59.5,11,1171432,
59.5,11.5,1143170,
59.5,12,1092340,
59.5,12.5,1227705,
59.5,13,1174936,
59.5,13.5,1171212,
59.5,14,1152382,
59.5,14.5,1145171,
59.5,15,1188686,
59.5,15.5,1154801,
59.5,16,1186431,
59.5,16.5,1295673,
59.5,17,1286567,
59.5,17.5,1334843,
59.5,18,109152,
59.5,18.5,1349945,
59.5,19,1451275,
59.5,19.5,1491119,
59.5,20,1459262,
59.5,20.5,1396018,
59.5,21,1400721,
59.5,21.5,1387517,
59.5,22,1409720,
59.5,22.5,1372769,
59.5,23,1376798,
59.5,23.5,1386999,
59.5,24,1315695,
60,11,1132081,
60,11.5,1081546,
60,12,1078512,
60,12.5,1026897,
60,13,1052253,
60,13.5,1064776,
60,14,1059892,
60,14.5,1076276,
60,15,1074896,
60,15.5,1136041,
60,16,1152641,
60,16.5,1157030,
60,17,1169040,
60,17.5,1229954,
60,18,1229425,
60,18.5,1255177,
60,19,1401660,
60,19.5,1528065,
60,20,1623995,
60,20.5,1582570,
60,21,1507090,
60,21.5,1504869,
60,22,1491791,
60,22.5,1437630,
60,23,1417879,
60,23.5,1348302,
60,24,1428520,
60.5,11,1156406,
60.5,11.5,1069126,
60.5,12,1086450,
60.5,12.5,1044116,
60.5,13,1033269,
60.5,13.5,1048125,
60.5,14,1027000,
60.5,14.5,1021414,
60.5,15,1014684,
60.5,15.5,1085273,
60.5,16,1116855,
60.5,16.5,1119482,
60.5,17,1124086,
60.5,17.5,1194413,
60.5,18,1251842,
60.5,18.5,1316270,
60.5,19,1413160,
60.5,19.5,1411867,
60.5,20,1499008,
60.5,20.5,1526467,
60.5,21,1527921,
60.5,21.5,1501606,
60.5,22,1451218,
60.5,22.5,1304395,
60.5,23,1285619,
60.5,23.5,1257086,
60.5,24,1259197,
61,11,1077425,
61,11.5,1035381,
61,12,1013185,
61,12.5,1005199,
61,13,1003061,
61,13.5,1066905,
61,14,1066615,
61,14.5,1037440,
61,15,1019285,
61,15.5,1003538,
61,16,1073420,
61,16.5,1112210,
61,17,1193946,
61,17.5,1308176,
61,18,1334992,
61,18.5,1373023,
61,19,1390594,
61,19.5,1387635,
61,20,1425271,
61,20.5,1458290,
61,21,1516991,
61,21.5,1470043,
61,22,1339156,
61,22.5,1310674,
61,23,1268078,
61,23.5,1228406,
61,24,1244094,
61.5,11,1028461,
61.5,11.5,1017641,
61.5,12,1048683,
61.5,12.5,1073479,
61.5,13,1100084,
61.5,13.5,1053347,
61.5,14,1063728,
61.5,14.5,1073275,
61.5,15,1072016,
61.5,15.5,1040782,
61.5,16,1153780,
61.5,16.5,1231913,
61.5,17,1254332,
61.5,17.5,1325072,
61.5,18,1336655,
61.5,18.5,1354799,
61.5,19,1365134,
61.5,19.5,1387306,
61.5,20,1400869,
61.5,20.5,1394318,
61.5,21,1451074,
61.5,21.5,1471469,
61.5,22,1368010,
61.5,22.5,1318312,
61.5,23,1262994,
61.5,23.5,1258768,
61.5,24,1244349,
62,11,937182,
62,11.5,998520,
62,12,962258,
62,12.5,1023351,
62,13,957285,
62,13.5,1046712,
62,14,985107,
62,14.5,971603,
62,15,982893,
62,15.5,1042202,
62,16,1151963,
62,16.5,1196429,
62,17,1233009,
62,17.5,1238908,
62,18,1301461,
62,18.5,1325028,
62,19,1334061,
62,19.5,1361918,
62,20,1386170,
62,20.5,1365658,
62,21,1442400,
62,21.5,1393360,
62,22,1313661,
62,22.5,1278929,
62,23,1235009,
62,23.5,1208079,
62,24,1196581,
62.5,11,878386,
62.5,11.5,804766,
62.5,12,782919,
62.5,12.5,905267,
62.5,13,923139,
62.5,13.5,924144,
62.5,14,983854,
62.5,14.5,965916,
62.5,15,987206,
62.5,15.5,967169,
62.5,16,1031618,
62.5,16.5,995568,
62.5,17,1130654,
62.5,17.5,1186187,
62.5,18,1200462,
62.5,18.5,1288898,
62.5,19,1290349,
62.5,19.5,1340659,
62.5,20,1377338,
62.5,20.5,1380870,
62.5,21,1428041,
62.5,21.5,1310955,
62.5,22,1266968,
62.5,22.5,1218959,
62.5,23,1160722,
62.5,23.5,1150810,
62.5,24,1106225,
63,11,761983,
63,11.5,811611,
63,12,752148,
63,12.5,723114,
63,13,772902,
63,13.5,88943,
63,14,87197,
63,14.5,90346,
63,15,86149,
63,15.5,86310,
63,16,86184,
63,16.5,86186,
63,17,88049,
63,17.5,89038,
63,18,91928,
63,18.5,94728,
63,19,95806,
63,19.5,96319,
63,20,96372,
63,20.5,96740,
63,21,97757,
63,21.5,96182,
63,22,93847,
63,22.5,93176,
63,23,93152,
63,23.5,92921,
63,24,92421,
63.5,11,81675,
63.5,11.5,80441,
63.5,12,85007,
63.5,12.5,-9059,
63.5,13,-8842,
63.5,13.5,80715,
63.5,14,82988,
63.5,14.5,83058,
63.5,15,84776,
63.5,15.5,85914,
63.5,16,84459,
63.5,16.5,84030,
63.5,17,84756,
63.5,17.5,85809,
63.5,18,86422,
63.5,18.5,87657,
63.5,19,89448,
63.5,19.5,93083,
63.5,20,93581,
63.5,20.5,93489,
63.5,21,93323,
63.5,21.5,93097,
63.5,22,95019,
63.5,22.5,92854,
63.5,23,92572,
63.5,23.5,90128,
63.5,24,89551,
64,11,80245,
64,11.5,77799,
64,12,74203,
64,12.5,86883,
64,13,81783,
64,13.5,-5010,
64,14,81033,
64,14.5,79861,
64,15,1026518,
64,15.5,84109,
64,16,83229,
64,16.5,80458,
64,17,82782,
64,17.5,82683,
64,18,83876,
64,18.5,84526,
64,19,84130,
64,19.5,-7049,
64,20,86953,
64,20.5,87573,
64,21,89578,
64,21.5,90254,
64,22,92607,
64,22.5,95529,
64,23,96005,
64,23.5,93277,
64,24,89779,
64.5,11,76272,
64.5,11.5,74197,
64.5,12,74233,
64.5,12.5,73957,
64.5,13,-14118,
64.5,13.5,75142,
64.5,14,76668,
64.5,14.5,-12183,
64.5,15,77026,
64.5,15.5,77902,
64.5,16,77892,
64.5,16.5,81596,
64.5,17,79113,
64.5,17.5,80776,
64.5,18,82167,
64.5,18.5,1017561,
64.5,19,81213,
64.5,19.5,81639,
64.5,20,-9340,
64.5,20.5,85200,
64.5,21,84685,
64.5,21.5,86521,
64.5,22,-3788,
64.5,22.5,88776,
64.5,23,88702,
64.5,23.5,-2975,
64.5,24,88789,
65,11,73329,
65,11.5,74720,Success
65,12,74212,Success
65,12.5,78137,Success
65,13,-9122,Success
65,13.5,84908,Success
65,14,78958,Success
65,14.5,81284,Success
65,15,81127,Success
65,15.5,78302,Success
65,16,76507,Success
65,16.5,78318,Success
65,17,-11956,Success
65,17.5,81556,Success
65,18,80447,Success
65,18.5,79138,Success
65,19,80825,Success
65,19.5,79840,Success
65,20,79308,Success
65,20.5,80343,Success
65,21,81340,Success
65,21.5,84603,Success
65,22,86625,Success
65,22.5,87477,Success
65,23,85983,Success
65,23.5,87630,Success
65,24,87777,Success
65.5,11,69089,Success
65.5,11.5,735078,
65.5,12,729617,
65.5,12.5,754731,
65.5,13,677118,
65.5,13.5,710979,
65.5,14,727216,
65.5,14.5,645085,
65.5,15,746340,
65.5,15.5,798202,
65.5,16,867761,
65.5,16.5,905560,
65.5,17,967468,
65.5,17.5,948537,
65.5,18,939992,
65.5,18.5,1024552,
65.5,19,1017518,
65.5,19.5,1013933,
65.5,20,1047074,
65.5,20.5,1075653,
65.5,21,1055907,
65.5,21.5,1110466,
65.5,22,1179126,
65.5,22.5,1273200,
65.5,23,1226680,
65.5,23.5,1269101,
65.5,24,1290842,
66,11,639415,
66,11.5,675114,
66,12,680257,
66,12.5,679028,
66,13,655221,
66,13.5,622642,
66,14,626807,
66,14.5,680983,
66,15,810800,
66,15.5,755820,
66,16,967501,
66,16.5,870634,
66,17,968232,
66,17.5,944345,
66,18,1052410,
66,18.5,995686,
66,19,1034458,
66,19.5,1030874,
66,20,1066054,
66,20.5,1104986,
66,21,1074664,
66,21.5,1105190,
66,22,1088878,
66,22.5,1087313,
66,23,1102986,
66,23.5,1088917,
66,24,1143509,
66.5,11,632285,
66.5,11.5,634688,
66.5,12,680534,
66.5,12.5,712240,
66.5,13,703147,
66.5,13.5,650098,
66.5,14,753667,
66.5,14.5,709538,
66.5,15,689165,
66.5,15.5,655007,
66.5,16,775358,
66.5,16.5,855666,
66.5,17,982994,
66.5,17.5,959302,
66.5,18,942798,
66.5,18.5,969039,
66.5,19,1007836,
66.5,19.5,1003043,
66.5,20,992954,
66.5,20.5,1010975,
66.5,21,991754,
66.5,21.5,1000407,
66.5,22,975262,
66.5,22.5,912735,
66.5,23,916090,
66.5,23.5,921392,
66.5,24,978054,
67,11,649195,
67,11.5,659967,
67,12,681385,
67,12.5,693057,
67,13,718030,
67,13.5,734402,
67,14,711089,
67,14.5,720830,
67,15,749347,
67,15.5,682246,
67,16,723208,
67,16.5,827423,
67,17,753399,
67,17.5,1088248,
67,18,1000503,
67,18.5,993554,
67,19,959735,
67,19.5,981527,
67,20,956954,
67,20.5,916230,
67,21,958984,
67,21.5,900720,
67,22,924070,
67,22.5,866125,
67,23,905034,
67,23.5,904720,
67,24,908056,
67.5,11,648563,
67.5,11.5,656548,
67.5,12,699298,
67.5,12.5,700876,
67.5,13,755427,
67.5,13.5,723538,
67.5,14,744897,
67.5,14.5,736147,
67.5,15,693418,
67.5,15.5,722647,
67.5,16,639219,
67.5,16.5,729022,
67.5,17,686938,
67.5,17.5,678025,
67.5,18,787650,
67.5,18.5,970193,
67.5,19,885475,
67.5,19.5,848487,
67.5,20,823682,
67.5,20.5,836326,
67.5,21,899056,
67.5,21.5,902383,
67.5,22,910571,
67.5,22.5,857586,
67.5,23,886192,
67.5,23.5,861453,
67.5,24,869754,
68,11,651940,
68,11.5,656801,
68,12,693620,
68,12.5,690718,
68,13,807157,
68,13.5,808148,
68,14,816602,
68,14.5,774157,
68,15,734816,
68,15.5,715069,
68,16,700354,
68,16.5,678053,
68,17,798683,
68,17.5,780826,
68,18,719928,
68,18.5,763205,
68,19,974117,
68,19.5,987545,
68,20,894857,
68,20.5,909864,
68,21,897675,
68,21.5,873330,
68,22,859700,
68,22.5,853149,
68,23,852989,
68,23.5,842879,
68,24,843761,
68.5,11,617566,
68.5,11.5,635626,
68.5,12,648241,
68.5,12.5,669181,
68.5,13,689406,
68.5,13.5,705341,
68.5,14,715885,
68.5,14.5,752213,
68.5,15,795171,
68.5,15.5,740134,
68.5,16,834636,
68.5,16.5,816141,
68.5,17,712319,
68.5,17.5,712719,
68.5,18,676331,
68.5,18.5,729487,
68.5,19,781290,
68.5,19.5,910252,
68.5,20,870238,
68.5,20.5,919600,
68.5,21,898893,
68.5,21.5,935192,
68.5,22,878279,
68.5,22.5,844417,
68.5,23,834353,
68.5,23.5,859667,
68.5,24,818106,
69,11,596655,
69,11.5,591917,
69,12,633861,
69,12.5,622261,
69,13,647344,
69,13.5,631342,
69,14,656271,
69,14.5,649971,
69,15,675526,
69,15.5,706105,
69,16,765303,
69,16.5,774107,
69,17,760372,
69,17.5,708038,
69,18,681413,
69,18.5,688086,
69,19,678297,
69,19.5,719837,
69,20,705770,
69,20.5,895453,
69,21,820935,
69,21.5,965096,
69,22,892429,
69,22.5,895052,
69,23,851911,
69,23.5,865579,
69,24,838904,